,county,X,Y,BinX,BinY
0,LK Germersheim,8.238553946,49.13685059,4,4
1,LK Fulda,9.754013361,50.59158168,7,7
2,LK Sankt Wendel,7.097281732999999,49.52031458,2,4
3,LK Rendsburg-Eckernförde,9.808401912999999,54.29850433,7,14
4,LK Osnabrück,8.068736307,52.33470579,4,10
5,SK Leverkusen,7.016196182000001,51.05635665,2,7
6,LK Salzlandkreis,11.77192345,52.0685177,10,10
7,SK Bremen,8.985246872000001,53.12756903,5,12
8,LK Olpe,7.98838153,51.09306928,4,8
9,LK Dachau,11.34429534,48.34214662,9,2
10,SK Heilbronn,9.183152658,49.15311863,6,4
11,LK Teltow-Fläming,13.28281731,52.05605855,13,9
12,LK Cochem-Zell,7.173047111,50.13285546,2,6
13,LK Lichtenfels,11.11622055,50.09835502,9,6
14,LK Minden-Lübbecke,8.805253586000001,52.34736214,5,10
15,SK Magdeburg,11.66530778,52.12460885,10,10
16,LK Potsdam-Mittelmark,12.68267091,52.32625503,12,10
17,LK Breisgau-Hochschwarzwald,7.926843364,47.93201209,3,1
18,SK Krefeld,6.5763570179999995,51.35105242,1,8
19,LK Hochsauerlandkreis,8.427181649,51.32331517,4,8
20,SK Baden-Baden,8.213670253,48.75892687,4,3
21,SK Aschaffenburg,9.152474786,49.96356219,6,5
22,LK Bad Kissingen,9.985071042000001,50.23523861,7,6
23,SK Amberg,11.84707083,49.45424342,10,4
24,LK Bernkastel-Wittlich,6.947075093,49.928801299999996,2,5
25,SK Wuppertal,7.170486886,51.24645844,2,8
26,LK Kleve,6.29474665,51.66261436,1,9
27,LK Freudenstadt,8.488691214,48.47057301,4,2
28,SK Mannheim,8.518768395,49.49029778,4,4
29,LK Main-Kinzig-Kreis,9.277347392000001,50.2587854,6,6
30,LK Calw,8.610782982,48.687838899999996,5,3
31,LK Offenbach,8.82952864,50.03082093,5,5
32,SK Kempten,10.30300794,47.74331799,8,1
33,LK Burgenlandkreis,11.87293244,51.15330828,10,8
34,LK Stendal,11.64001581,53.00789994,10,11
35,LK Schwalm-Eder-Kreis,9.363923424,51.02254151,6,7
36,LK Hameln-Pyrmont,9.391295481,52.08473644,6,10
37,SK Mülheim a.d.Ruhr,6.87709037,51.4169586,2,8
38,LK Mansfeld-Südharz,11.33233714,51.53740299,9,8
39,SK Freiburg i.Breisgau,7.8122233229999996,47.98973442,3,1
40,LK Dillingen a.d.Donau,10.51885913,48.6027105,8,3
41,LK Oberbergischer Kreis,7.493526602,51.034655799999996,3,7
42,LK Helmstedt,10.86980566,52.27637193,8,10
43,SK Passau,13.420955900000001,48.58370149,13,3
44,LK Bamberg,10.87589996,49.90065783,8,5
45,LK Jerichower Land,11.98444197,52.25770512,10,10
46,LK Lüchow-Dannenberg,11.1083816,53.02062165,9,11
47,SK Coburg,10.96670584,50.2645685,9,6
48,SK Bamberg,10.89523154,49.89251626,9,5
49,LK Limburg-Weilburg,8.212602427,50.42987922,4,6
50,LK Kyffhäuserkreis,11.00734143,51.31965749,9,8
51,LK Schaumburg,9.189273542999999,52.27134478,6,10
52,LK Neu-Ulm,10.147753100000001,48.30638352,7,2
53,LK Hohenlohekreis,9.592987989,49.25101804,6,4
54,LK Lahn-Dill-Kreis,8.391477865,50.63489685,4,7
55,LK Siegen-Wittgenstein,8.199012193,50.94208595,4,7
56,LK Rhön-Grabfeld,10.26110163,50.36123232,7,6
57,LK Marburg-Biedenkopf,8.742193944,50.84061268,5,7
58,SK Wiesbaden,8.263644969,50.08704903,4,6
