Unnamed: 0,week,year,countyx,count,incidence,index,BinX,BinY,Unnamed: 0,X,Y,county
0,1,2001,LK Cham,1.0,29.5290122545401,0,12,4,159.0,12.6729384,49.22430336,LK Cham
1,1,2001,LK Main-Taunus-Kreis,1.0,16.4598516784477,1,4,6,187.0,8.431751829,50.11309205,LK Main-Taunus-Kreis
2,1,2001,LK Marburg-Biedenkopf,1.0,15.7825515124945,2,5,7,57.0,8.742193944,50.84061268,LK Marburg-Biedenkopf
3,1,2001,LK Saale-Orla-Kreis,2.0,94.7759322277524,3,10,7,378.0,11.71212513,50.58546309,LK Saale-Orla-Kreis
4,1,2001,LK Segeberg,1.0,14.9760383386581,4,7,13,135.0,10.16041112,53.90466788,LK Segeberg
5,1,2001,SK Darmstadt,1.0,16.475218525467902,5,5,5,322.0,8.666564557000001,49.88968355,SK Darmstadt
6,1,2001,SK Düsseldorf,2.0,8.41147456317017,6,2,8,323.0,6.825464322,51.23556231,SK Düsseldorf
7,2,2001,LK Cham,3.0,110.3917033274414,7,12,4,159.0,12.6729384,49.22430336,LK Cham
8,2,2001,LK Darmstadt-Dieburg,1.0,12.926391382405699,8,5,5,366.0,8.757112401,49.85856737,LK Darmstadt-Dieburg
9,2,2001,LK Karlsruhe,1.0,6.69035548088788,9,5,3,168.0,8.548759352000001,49.03666902,LK Karlsruhe
10,2,2001,LK Main-Spessart,1.0,34.4299923488906,10,6,5,259.0,9.67167076,49.99799059,LK Main-Spessart
11,2,2001,LK Nordfriesland,3.0,53.6457639568248,11,6,15,172.0,9.114426279,54.87523833,LK Nordfriesland
12,2,2001,LK Rhein-Kreis Neuss,3.0,25.154432263720288,12,1,8,365.0,6.643107827000001,51.14760705,LK Rhein-Kreis Neuss
13,2,2001,LK Rhein-Sieg-Kreis,3.0,19.213825149455577,13,2,7,357.0,7.200650126,50.74223782,LK Rhein-Sieg-Kreis
14,2,2001,LK Schmalkalden-Meiningen,1.0,24.0587032358956,14,8,7,204.0,10.392745,50.6211518,LK Schmalkalden-Meiningen
15,2,2001,LK Siegen-Wittgenstein,1.0,16.2484202924716,15,4,7,55.0,8.199012193,50.94208595,LK Siegen-Wittgenstein
16,2,2001,LK Tübingen,3.0,42.160286985673494,16,5,2,202.0,8.986157546,48.49149713,LK Tübingen
17,2,2001,LK Würzburg,2.0,41.4751322019839,17,7,5,367.0,9.917228179,49.72641812,LK Würzburg
18,2,2001,SK Bonn,1.0,8.47485557433625,18,2,7,356.0,7.107119302999999,50.70274972,SK Bonn
19,2,2001,SK Karlsruhe,1.0,8.60593426978648,19,4,3,189.0,8.418971817000001,49.01040226,SK Karlsruhe
20,3,2001,LK Bad Tölz-Wolfratshausen,1.0,30.548861206340604,20,10,1,315.0,11.48927975,47.740659,LK Bad Tölz-Wolfratshausen
21,3,2001,LK Cham,1.0,32.4892153854484,21,12,4,159.0,12.6729384,49.22430336,LK Cham
22,3,2001,LK Deggendorf,10.0,343.91559815857613,22,12,3,71.0,13.01836551,48.77997544,LK Deggendorf
23,3,2001,LK Göttingen,1.0,13.5425914501106,23,7,8,410.0,10.09441644,51.55486849,LK Göttingen
24,3,2001,LK Main-Spessart,5.0,130.7484779964496,24,6,5,259.0,9.67167076,49.99799059,LK Main-Spessart
25,3,2001,LK Marburg-Biedenkopf,1.0,10.8784992505923,25,5,7,57.0,8.742193944,50.84061268,LK Marburg-Biedenkopf
26,3,2001,LK Neumarkt i.d.OPf.,1.0,27.0721472724812,26,10,4,128.0,11.53502539,49.21791988,LK Neumarkt i.d.OPf.
27,3,2001,LK Nordfriesland,1.0,24.4366005973391,27,6,15,172.0,9.114426279,54.87523833,LK Nordfriesland
28,3,2001,LK Offenbach,1.0,11.020835501784804,28,5,5,31.0,8.82952864,50.03082093,LK Offenbach
29,3,2001,LK Plön,1.0,33.0706057432619,29,8,14,134.0,10.35137175,54.20944309,LK Plön
30,3,2001,LK Rems-Murr-Kreis,1.0,10.8357362581795,30,6,3,112.0,9.504913495,48.90170195,LK Rems-Murr-Kreis
31,3,2001,LK Rhein-Erft-Kreis,1.0,7.987539438475982,31,1,7,332.0,6.7243826570000005,50.91095217,LK Rhein-Erft-Kreis
32,3,2001,LK Rhein-Neckar-Kreis,1.0,6.993686255463821,32,5,4,167.0,8.900597803,49.50474932,LK Rhein-Neckar-Kreis
33,3,2001,LK Rotenburg (Wümme),1.0,20.5083799519192,33,6,12,242.0,9.316856217,53.25558878,LK Rotenburg (Wümme)
34,3,2001,LK Würzburg,3.0,67.1532745330596,34,7,5,367.0,9.917228179,49.72641812,LK Würzburg
35,3,2001,SK Coburg,1.0,125.52301255230101,35,9,6,47.0,10.96670584,50.2645685,SK Coburg
36,3,2001,SK Freiburg i.Breisgau,1.0,12.1929741373471,36,3,1,39.0,7.812223322999999,47.98973442,SK Freiburg i.Breisgau
37,3,2001,SK Köln,1.0,4.42395226063961,37,2,7,358.0,6.95755812,50.95978658,SK Köln
38,3,2001,SK München,1.0,2.98560936287096,38,10,2,83.0,11.55480833,48.15608074,SK München
39,3,2001,SK Trier,1.0,20.249063480813998,39,1,5,230.0,6.665054587,49.76602517,SK Trier
40,4,2001,LK Böblingen,1.0,10.823747301579699,40,5,3,350.0,8.942495704,48.67913217,LK Böblingen
41,4,2001,LK Dachau,1.0,28.213166144200606,41,9,2,9.0,11.34429534,48.34214662,LK Dachau
42,4,2001,LK Deggendorf,5.0,172.77112672436886,42,12,3,71.0,13.01836551,48.77997544,LK Deggendorf
43,4,2001,LK Donau-Ries,1.0,27.621342090321804,43,8,3,179.0,10.70433724,48.80766878,LK Donau-Ries
44,4,2001,LK Düren,1.0,12.2450645587015,44,1,7,205.0,6.436490245,50.82786723,LK Düren
45,4,2001,LK Enzkreis,1.0,17.826900793297106,45,5,3,349.0,8.728694255,48.90092033,LK Enzkreis
46,4,2001,LK Erlangen-Höchstadt,1.0,25.7783633603529,46,9,5,297.0,10.94604584,49.63479387,LK Erlangen-Höchstadt
47,4,2001,LK Göttingen,1.0,10.7995248209079,47,7,8,410.0,10.09441644,51.55486849,LK Göttingen
48,4,2001,LK Kleve,1.0,,48,1,9,26.0,6.29474665,51.66261436,LK Kleve
49,4,2001,LK Main-Spessart,2.0,70.7142752492273,49,6,5,259.0,9.67167076,49.99799059,LK Main-Spessart
50,4,2001,LK Main-Tauber-Kreis,2.0,52.8100977159375,50,7,5,368.0,9.735726211,49.57583333,LK Main-Tauber-Kreis
51,4,2001,LK München,1.0,12.3837305300237,51,10,2,149.0,11.62689387,48.09397884,LK München
52,4,2001,LK Neuburg-Schrobenhausen,1.0,34.9623183901795,52,9,3,173.0,11.21302825,48.6566017,LK Neuburg-Schrobenhausen
53,4,2001,LK Nordfriesland,2.0,42.3729740315731,53,6,15,172.0,9.114426279,54.87523833,LK Nordfriesland
54,4,2001,LK Regen,20.0,1002.4958277815216,54,12,3,208.0,13.0985455,49.02234446,LK Regen
55,4,2001,LK Rendsburg-Eckernförde,1.0,17.4066087091066,55,7,14,3.0,9.808401912999999,54.29850433,LK Rendsburg-Eckernförde
56,4,2001,LK Rhein-Neckar-Kreis,1.0,6.68841640594229,56,5,4,167.0,8.900597803,49.50474932,LK Rhein-Neckar-Kreis
57,4,2001,LK Rhein-Sieg-Kreis,1.0,6.428112277694451,57,2,7,357.0,7.200650126,50.74223782,LK Rhein-Sieg-Kreis
58,4,2001,LK Segeberg,1.0,13.9852533273249,58,7,13,135.0,10.16041112,53.90466788,LK Segeberg
59,4,2001,LK Straubing-Bogen,1.0,34.2889799028479,59,11,3,312.0,12.53082183,48.88573591,LK Straubing-Bogen
60,4,2001,LK Tuttlingen,1.0,23.695434679585095,60,5,1,287.0,8.793968846,47.99870905,LK Tuttlingen
61,4,2001,LK Tübingen,1.0,17.9787850336603,61,5,2,202.0,8.986157546,48.49149713,LK Tübingen
62,4,2001,LK Würzburg,2.0,41.4751322019839,62,7,5,367.0,9.917228179,49.72641812,LK Würzburg
63,4,2001,LK Zollernalbkreis,1.0,25.3975420823163,63,5,2,175.0,8.939526246,48.25988985,LK Zollernalbkreis
64,4,2001,SK Berlin Friedrichshain-Kreuzberg,1.0,9.657118637702462,64,13,10,399.0,13.43358439,52.50618579,SK Berlin Friedrichshain-Kreuzberg
65,4,2001,SK Halle,1.0,14.232736876230499,65,10,8,153.0,11.97334237,51.47775484,SK Halle
66,4,2001,SK Heilbronn,1.0,25.5576538073805,66,6,4,10.0,9.183152658,49.15311863,SK Heilbronn
67,4,2001,SK Kiel,1.0,19.166879631995894,67,7,14,308.0,10.13363587,54.33705667,SK Kiel
68,4,2001,SK Köln,4.0,10.59113145492147,68,2,7,358.0,6.95755812,50.95978658,SK Köln
69,4,2001,SK Stuttgart,1.0,7.30421656190526,69,6,3,60.0,9.174547296,48.78448056,SK Stuttgart
70,5,2001,LK Aichach-Friedberg,9.0,247.7555784259319,70,9,2,338.0,11.07345012,48.41245885,LK Aichach-Friedberg
71,5,2001,LK Dachau,1.0,26.6284006686687,71,9,2,9.0,11.34429534,48.34214662,LK Dachau
72,5,2001,LK Deggendorf,2.0,59.437648130073796,72,12,3,71.0,13.01836551,48.77997544,LK Deggendorf
73,5,2001,LK Enzkreis,1.0,16.2121266707497,73,5,3,349.0,8.728694255,48.90092033,LK Enzkreis
74,5,2001,LK Fulda,1.0,15.867838535927401,74,7,7,1.0,9.754013361,50.59158168,LK Fulda
75,5,2001,LK Goslar,1.0,26.2524611682345,75,8,9,195.0,10.4187703,51.85454134,LK Goslar
76,5,2001,LK Göttingen,7.0,103.15326115919399,76,7,8,410.0,10.09441644,51.55486849,LK Göttingen
77,5,2001,LK Hochsauerlandkreis,3.0,42.463386633144005,77,4,8,19.0,8.427181649,51.32331517,LK Hochsauerlandkreis
78,5,2001,LK Ludwigsburg,1.0,5.879835756587871,78,6,3,94.0,9.400481392,49.03920992,LK Ludwigsburg
79,5,2001,LK Lüchow-Dannenberg,15.0,1172.202523245161,79,9,11,46.0,11.1083816,53.02062165,LK Lüchow-Dannenberg
80,5,2001,LK Main-Kinzig-Kreis,1.0,6.93059395190168,80,6,6,29.0,9.277347392000001,50.2587854,LK Main-Kinzig-Kreis
81,5,2001,LK Main-Spessart,2.0,28.2725473565168,81,6,5,259.0,9.67167076,49.99799059,LK Main-Spessart
82,5,2001,LK Main-Tauber-Kreis,5.0,124.52492925352541,82,7,5,368.0,9.735726211,49.57583333,LK Main-Tauber-Kreis
83,5,2001,LK Marburg-Biedenkopf,4.0,71.58147611749409,83,5,7,57.0,8.742193944,50.84061268,LK Marburg-Biedenkopf
84,5,2001,LK Neckar-Odenwald-Kreis,1.0,22.1503021055093,84,6,4,171.0,9.285224519,49.46778434,LK Neckar-Odenwald-Kreis
85,5,2001,LK Nordfriesland,6.0,124.6348238888962,85,6,15,172.0,9.114426279,54.87523833,LK Nordfriesland
86,5,2001,LK Oberbergischer Kreis,2.0,25.4098005709562,86,3,7,41.0,7.493526602,51.0346558,LK Oberbergischer Kreis
87,5,2001,LK Passau,1.0,17.8369700933468,87,13,3,238.0,13.38156136,48.5843481,LK Passau
88,5,2001,LK Peine,1.0,25.218207545848106,88,7,10,342.0,10.2489519,52.30198811,LK Peine
89,5,2001,LK Pinneberg,2.0,27.8215077496078,89,7,13,223.0,9.752625682,53.89462551,LK Pinneberg
90,5,2001,LK Ravensburg,2.0,23.2139748128373,90,7,1,106.0,9.783716997,47.82698885,LK Ravensburg
91,5,2001,LK Regen,20.0,994.4680569419172,91,12,3,208.0,13.0985455,49.02234446,LK Regen
92,5,2001,LK Rhein-Neckar-Kreis,3.0,20.4973297362374,92,5,4,167.0,8.900597803,49.50474932,LK Rhein-Neckar-Kreis
93,5,2001,LK Sigmaringen,1.0,23.4542966968532,93,6,1,176.0,9.262390337000001,48.04993413,LK Sigmaringen
94,5,2001,LK Traunstein,1.0,24.1623711340206,94,11,1,341.0,12.56806566,47.91076967,LK Traunstein
95,5,2001,LK Unterallgäu,1.0,27.3568703740292,95,8,2,236.0,10.57487898,48.21305543,LK Unterallgäu
96,5,2001,LK Würzburg,3.0,76.67077630185109,96,7,5,367.0,9.917228179,49.72641812,LK Würzburg
97,5,2001,SK Bonn,2.0,27.1068043794807,97,2,7,356.0,7.107119302999999,50.70274972,SK Bonn
98,5,2001,SK Halle,1.0,23.4478805721283,98,10,8,153.0,11.97334237,51.47775484,SK Halle
99,5,2001,SK Köln,3.0,12.90537994103898,99,2,7,358.0,6.95755812,50.95978658,SK Köln
100,5,2001,SK Leipzig,1.0,4.55083280240284,100,11,8,247.0,12.37970108,51.33833756,SK Leipzig
101,5,2001,SK Memmingen,1.0,106.364119836908,101,7,1,110.0,10.16123202,47.98172879999999,SK Memmingen
102,5,2001,SK München,1.0,3.8548272073704304,102,10,2,83.0,11.55480833,48.15608074,SK München
103,5,2001,SK Stuttgart,1.0,3.86900411833994,103,6,3,60.0,9.174547296,48.78448056,SK Stuttgart
104,5,2001,SK Würzburg,1.0,44.3502685655152,104,7,5,237.0,9.937880783999999,49.78048468,SK Würzburg
105,6,2001,LK Aichach-Friedberg,8.0,223.1319096240594,105,9,2,338.0,11.07345012,48.41245885,LK Aichach-Friedberg
106,6,2001,LK Böblingen,1.0,11.335012594458401,106,5,3,350.0,8.942495704,48.67913217,LK Böblingen
107,6,2001,LK Cham,3.0,108.64113174789593,107,12,4,159.0,12.6729384,49.22430336,LK Cham
108,6,2001,LK Cuxhaven,1.0,24.777006937561893,108,5,13,78.0,8.856585532999999,53.59001778,LK Cuxhaven
109,6,2001,LK Deggendorf,5.0,179.0062150838111,109,12,3,71.0,13.01836551,48.77997544,LK Deggendorf
110,6,2001,LK Donau-Ries,1.0,28.0426247896803,110,8,3,179.0,10.70433724,48.80766878,LK Donau-Ries
111,6,2001,LK Groß-Gerau,1.0,11.581595557814698,111,4,5,275.0,8.489639367,49.90497794,LK Groß-Gerau
112,6,2001,LK Göttingen,6.0,71.69536483529221,112,7,8,410.0,10.09441644,51.55486849,LK Göttingen
113,6,2001,LK Günzburg,1.0,33.9270568278202,113,8,2,252.0,10.37483887,48.35507256,LK Günzburg
114,6,2001,LK Heilbronn,1.0,11.4242918525759,114,6,4,217.0,9.220702606,49.17535877,LK Heilbronn
115,6,2001,LK Hochsauerlandkreis,1.0,12.669899837403,115,4,8,19.0,8.427181649,51.32331517,LK Hochsauerlandkreis
116,6,2001,LK Holzminden,2.0,100.9571221145583,116,6,9,104.0,9.536701352,51.86720447,LK Holzminden
117,6,2001,LK Konstanz,1.0,14.266465879369099,117,6,1,270.0,9.129606178,47.8477235,LK Konstanz
118,6,2001,LK Lüchow-Dannenberg,2.0,155.179102547524,118,9,11,46.0,11.1083816,53.02062165,LK Lüchow-Dannenberg
119,6,2001,LK Main-Tauber-Kreis,3.0,74.56780571389311,119,7,5,368.0,9.735726211,49.57583333,LK Main-Tauber-Kreis
120,6,2001,LK Märkischer Kreis,1.0,10.3429848705116,120,3,8,320.0,7.718627682,51.26186162,LK Märkischer Kreis
121,6,2001,LK Neckar-Odenwald-Kreis,1.0,22.1503021055093,121,6,4,171.0,9.285224519,49.46778434,LK Neckar-Odenwald-Kreis
122,6,2001,LK Neuburg-Schrobenhausen,3.0,129.1473377039361,122,9,3,173.0,11.21302825,48.6566017,LK Neuburg-Schrobenhausen
123,6,2001,LK Nordfriesland,1.0,24.4366005973391,123,6,15,172.0,9.114426279,54.87523833,LK Nordfriesland
124,6,2001,LK Offenbach,1.0,7.59128520458514,124,5,5,31.0,8.82952864,50.03082093,LK Offenbach
125,6,2001,LK Pfaffenhofen a.d.Ilm,3.0,83.1156645611286,125,10,3,178.0,11.52062357,48.61198821,LK Pfaffenhofen a.d.Ilm
126,6,2001,LK Ravensburg,1.0,11.6069874064187,126,7,1,106.0,9.783716997,47.82698885,LK Ravensburg
127,6,2001,LK Regen,16.0,800.6246266174443,127,12,3,208.0,13.0985455,49.02234446,LK Regen
128,6,2001,LK Rhein-Kreis Neuss,1.0,5.351075120176231,128,1,8,365.0,6.643107827000001,51.14760705,LK Rhein-Kreis Neuss
129,6,2001,LK Rhein-Neckar-Kreis,1.0,6.68841640594229,129,5,4,167.0,8.900597803,49.50474932,LK Rhein-Neckar-Kreis
130,6,2001,LK Rhein-Sieg-Kreis,3.0,19.82881083518876,130,2,7,357.0,7.200650126,50.74223782,LK Rhein-Sieg-Kreis
131,6,2001,LK Roth,1.0,35.946798737868,131,0.0,0.0,,0.0,0.0,
132,6,2001,LK Rottal-Inn,1.0,33.3982744224882,132,12,2,156.0,12.83641293,48.44287554,LK Rottal-Inn
133,6,2001,LK Saalfeld-Rudolstadt,2.0,62.7691663905986,133,9,7,384.0,11.30474493,50.61991768,LK Saalfeld-Rudolstadt
134,6,2001,LK Sigmaringen,1.0,33.966109370872196,134,6,1,176.0,9.262390337000001,48.04993413,LK Sigmaringen
135,6,2001,LK Steinburg,1.0,25.968030469155803,135,6,13,345.0,9.555018578,53.95343947,LK Steinburg
136,6,2001,LK Straubing-Bogen,1.0,34.2889799028479,136,11,3,312.0,12.53082183,48.88573591,LK Straubing-Bogen
137,6,2001,LK Tuttlingen,3.0,71.8591500316316,137,5,1,287.0,8.793968846,47.99870905,LK Tuttlingen
138,6,2001,LK Unterallgäu,1.0,25.2542967379867,138,8,2,236.0,10.57487898,48.21305543,LK Unterallgäu
139,6,2001,LK Wetteraukreis,1.0,12.231834027603199,139,5,6,89.0,8.895920732,50.3545012,LK Wetteraukreis
140,6,2001,LK Würzburg,1.0,24.1038070624155,140,7,5,367.0,9.917228179,49.72641812,LK Würzburg
141,6,2001,SK Dortmund,1.0,6.53374132918078,141,3,8,91.0,7.462898955,51.51635974,SK Dortmund
142,6,2001,SK Koblenz,1.0,45.046172326634796,142,3,6,199.0,7.588323817000001,50.34567982,SK Koblenz
143,6,2001,SK Köln,3.0,12.036771324598831,143,2,7,358.0,6.95755812,50.95978658,SK Köln
144,6,2001,SK München,2.0,7.43481507518932,144,10,2,83.0,11.55480833,48.15608074,SK München
145,6,2001,SK Stuttgart,1.0,7.30421656190526,145,6,3,60.0,9.174547296,48.78448056,SK Stuttgart
146,6,2001,SK Wuppertal,1.0,11.4047481768243,146,2,8,25.0,7.170486886,51.24645844,SK Wuppertal
147,6,2001,SK Würzburg,2.0,31.6487353009624,147,7,5,237.0,9.937880783999999,49.78048468,SK Würzburg
148,7,2001,LK Aichach-Friedberg,10.0,291.88505541832694,148,9,2,338.0,11.07345012,48.41245885,LK Aichach-Friedberg
149,7,2001,LK Altötting,1.0,31.766761378677398,149,12,2,155.0,12.70357124,48.21606851,LK Altötting
150,7,2001,LK Bad Kreuznach,1.0,30.9267722758668,150,3,5,198.0,7.673015056,49.81207435,LK Bad Kreuznach
151,7,2001,LK Biberach,1.0,15.398171039462099,151,7,2,124.0,9.738412896,48.12156599,LK Biberach
152,7,2001,LK Borken,2.0,16.7102215496874,152,2,9,256.0,6.869320862,51.94162227,LK Borken
153,7,2001,LK Deggendorf,6.0,223.36095241121438,153,12,3,71.0,13.01836551,48.77997544,LK Deggendorf
154,7,2001,LK Enzkreis,2.0,34.039027464046804,154,5,3,349.0,8.728694255,48.90092033,LK Enzkreis
155,7,2001,LK Euskirchen,1.0,23.7934726573343,155,1,6,266.0,6.649498443,50.52506986,LK Euskirchen
156,7,2001,LK Fürth,1.0,37.0805265434769,156,8,4,347.0,10.85321432,49.45391379,LK Fürth
157,7,2001,LK Goslar,2.0,55.189041828953115,157,8,9,195.0,10.4187703,51.85454134,LK Goslar
158,7,2001,LK Göttingen,9.0,111.6358897523468,158,7,8,410.0,10.09441644,51.55486849,LK Göttingen
159,7,2001,LK Hochsauerlandkreis,11.0,149.4083792534995,159,4,8,19.0,8.427181649,51.32331517,LK Hochsauerlandkreis
160,7,2001,LK Kitzingen,1.0,35.89375448671929,160,8,5,161.0,10.293139300000002,49.75479546,LK Kitzingen
161,7,2001,LK Konstanz,1.0,17.2724830153917,161,6,1,270.0,9.129606178,47.8477235,LK Konstanz
