,week,year,county,count,incidence
0,49,2016,LK Alb-Donau-Kreis,1,17.71008589
1,49,2016,LK Alb-Donau-Kreis,1,13.32938389
2,49,2016,LK Biberach,1,18.56052794
3,49,2016,LK Biberach,1,13.95586844
4,49,2016,LK Biberach,1,25.06998705
5,49,2016,LK Biberach,1,14.87787742
6,49,2016,LK Biberach,1,14.02251393
7,49,2016,LK Böblingen,1,17.8738109
8,49,2016,LK Bodenseekreis,1,15.2491973
9,49,2016,LK Bodenseekreis,1,17.81931217
10,49,2016,LK Bodenseekreis,1,16.95553881
11,49,2016,LK Bodenseekreis,1,28.34065467
12,49,2016,LK Breisgau-Hochschwarzwald,1,11.61125518
13,49,2016,LK Breisgau-Hochschwarzwald,1,11.90066908
14,49,2016,LK Breisgau-Hochschwarzwald,1,14.07206461
15,49,2016,LK Breisgau-Hochschwarzwald,1,12.95812366
16,49,2016,LK Breisgau-Hochschwarzwald,2,19.548962
17,49,2016,LK Breisgau-Hochschwarzwald,1,13.93890115
18,49,2016,LK Breisgau-Hochschwarzwald,1,14.69051972
19,49,2016,LK Breisgau-Hochschwarzwald,1,15.4182192
20,49,2016,LK Breisgau-Hochschwarzwald,1,22.8722458
21,49,2016,LK Calw,1,24.20591162
22,49,2016,LK Calw,1,18.57335961
23,49,2016,LK Emmendingen,1,22.04990629
24,49,2016,LK Emmendingen,1,19.26967916
25,49,2016,LK Emmendingen,1,16.12195362
26,49,2016,LK Enzkreis,1,17.43408946
27,49,2016,LK Esslingen,2,14.25251498
28,49,2016,LK Esslingen,1,6.027142231
29,49,2016,LK Esslingen,1,5.34061239
30,49,2016,LK Esslingen,1,6.380829153
31,49,2016,LK Esslingen,1,5.304179989
32,49,2016,LK Esslingen,3,15.85986924
33,49,2016,LK Esslingen,1,5.304179989
34,49,2016,LK Freudenstadt,1,27.9902967
35,49,2016,LK Göppingen,1,14.6704049
36,49,2016,LK Göppingen,1,17.54283375
37,49,2016,LK Heidenheim,1,28.60593732
38,49,2016,LK Heidenheim,1,39.84151929
39,49,2016,LK Heilbronn,1,8.286911284
40,49,2016,LK Hohenlohekreis,1,29.57510433
